Latitude,Longitude,Date,MODIS_Tile,MCD12Q2_061_Line_Y_500m,MCD12Q2_061_Sample_X_500m,MCD12Q2_061_Dormancy_0,MCD12Q2_061_Dormancy_1,MCD12Q2_061_Greenup_0,MCD12Q2_061_Greenup_1,MCD12Q2_061_Maturity_0,MCD12Q2_061_Maturity_1,MCD12Q2_061_Peak_0,MCD12Q2_061_Peak_1,MCD12Q2_061_Senescence_0,MCD12Q2_061_Senescence_1,MCD12Q2_061_QA_Detailed_0,MCD12Q2_061_QA_Detailed_1,MCD12Q2_061_QA_Overall_0,MCD12Q2_061_QA_Overall_1,MCD12Q2_061_QA_Detailed_0_bitmask,MCD12Q2_061_QA_Detailed_0_Greenup,MCD12Q2_061_QA_Detailed_0_Greenup_Description,MCD12Q2_061_QA_Detailed_0_MidGreenup,MCD12Q2_061_QA_Detailed_0_MidGreenup_Description,MCD12Q2_061_QA_Detailed_0_Maturity,MCD12Q2_061_QA_Detailed_0_Maturity_Description,MCD12Q2_061_QA_Detailed_0_Peak,MCD12Q2_061_QA_Detailed_0_Peak_Description,MCD12Q2_061_QA_Detailed_0_Senescence,MCD12Q2_061_QA_Detailed_0_Senescence_Description,MCD12Q2_061_QA_Detailed_0_MidGreendown,MCD12Q2_061_QA_Detailed_0_MidGreendown_Description,MCD12Q2_061_QA_Detailed_0_Dormancy,MCD12Q2_061_QA_Detailed_0_Dormancy_Description,MCD12Q2_061_QA_Detailed_0_Unused,MCD12Q2_061_QA_Detailed_0_Unused_Description,MCD12Q2_061_QA_Detailed_1_bitmask,MCD12Q2_061_QA_Detailed_1_Greenup,MCD12Q2_061_QA_Detailed_1_Greenup_Description,MCD12Q2_061_QA_Detailed_1_MidGreenup,MCD12Q2_061_QA_Detailed_1_MidGreenup_Description,MCD12Q2_061_QA_Detailed_1_Maturity,MCD12Q2_061_QA_Detailed_1_Maturity_Description,MCD12Q2_061_QA_Detailed_1_Peak,MCD12Q2_061_QA_Detailed_1_Peak_Description,MCD12Q2_061_QA_Detailed_1_Senescence,MCD12Q2_061_QA_Detailed_1_Senescence_Description,MCD12Q2_061_QA_Detailed_1_MidGreendown,MCD12Q2_061_QA_Detailed_1_MidGreendown_Description,MCD12Q2_061_QA_Detailed_1_Dormancy,MCD12Q2_061_QA_Detailed_1_Dormancy_Description,MCD12Q2_061_QA_Detailed_1_Unused,MCD12Q2_061_QA_Detailed_1_Unused_Description,MCD12Q2_061_QA_Overall_0_bitmask,MCD12Q2_061_QA_Overall_0_Name,MCD12Q2_061_QA_Overall_0_Name_Description,MCD12Q2_061_QA_Overall_1_bitmask,MCD12Q2_061_QA_Overall_1_Name,MCD12Q2_061_QA_Overall_1_Name_Description
25.6,-100.2,2015-01-01,h08v06,1055.0,2312.0,16781.0,32767.0,16517.0,32767.0,16577.0,32767.0,16606.0,32767.0,16627.0,32767.0,192.0,32767.0,0.0,32767.0,0b0000000011000000,0b00,Best,0b00,Best,0b00,Best,0b11,Poor,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2016-01-01,h08v06,1055.0,2312.0,17005.0,17186.0,16909.0,17031.0,16953.0,17062.0,16967.0,17077.0,16978.0,17103.0,0.0,0.0,0.0,0.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0000000000000000,0b0000000000000000,Best,0b0000000000000000,0b0000000000000000,Best
25.6,-100.2,2017-01-01,h08v06,1055.0,2312.0,17384.0,17587.0,17238.0,17417.0,17286.0,17451.0,17311.0,17466.0,17335.0,17488.0,0.0,0.0,0.0,0.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0000000000000000,0b0000000000000000,Best,0b0000000000000000,0b0000000000000000,Best
25.6,-100.2,2018-01-01,h08v06,1055.0,2312.0,17762.0,32767.0,17641.0,32767.0,17688.0,32767.0,17708.0,32767.0,17724.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2019-01-01,h08v06,1055.0,2312.0,18237.0,32767.0,17975.0,32767.0,18038.0,32767.0,18063.0,32767.0,18082.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2020-01-01,h08v06,1055.0,2312.0,18596.0,32767.0,18347.0,32767.0,18399.0,32767.0,18423.0,32767.0,18469.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2021-01-01,h08v06,1055.0,2312.0,18991.0,32767.0,18743.0,32767.0,18798.0,32767.0,18823.0,32767.0,18848.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2022-01-01,h08v06,1055.0,2312.0,19387.0,32767.0,19107.0,32767.0,19262.0,32767.0,19282.0,32767.0,19307.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
25.6,-100.2,2023-01-01,h08v06,1055.0,2312.0,19591.0,19757.0,19442.0,19624.0,19494.0,19665.0,19516.0,19683.0,19543.0,19705.0,0.0,0.0,0.0,0.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0000000000000000,0b0000000000000000,Best,0b0000000000000000,0b0000000000000000,Best
25.6,-100.2,2024-01-01,h08v06,1055.0,2312.0,20129.0,32767.0,19823.0,32767.0,19962.0,32767.0,19993.0,32767.0,20021.0,32767.0,0.0,32767.0,0.0,32767.0,0b0000000000000000,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,Best,0b00,,0b0111111111111111,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b11,Poor,0b01,,0b0000000000000000,0b0000000000000000,Best,0b0111111111111111,0b0111111111111111,
